N_N, Type_Host,Type_Loc,Type_Dir_cluster,Type_Dir,Type_NS,P_of_Sp,P_of_Sp_cluster,Host_Lemma,Host_Trans,
1987,location,in_inside.location,absence of movement,ess,,adv,adv,ре́лъи,на_дворе,
1988,time_span,,,ess,,n,n,баран,осень,
1989,,,,,theme (нарратив),DEM,DEM,гьу,это,
1990,,,,,theme (нарратив),DEM,DEM,гьу,это,
1991,building_part__frame,near_contact_forced,motion towards (lat__term),lat,,n,n,гьинцIцIу,дверь,
1992,text_sound,inter_abstract,,ess,,n,n,кечIи,песня,
1993,mass,,,,instrument? (заполнить чем-то) (мб актантный генетив Кибрик:Даниэль 2001_ с208),n,n,лълъе́ни,вода,
1994,mass,,,,instrument? (заполнить чем-то) (мб актантный генетив Кибрик:Даниэль 2001_ с208),n,n,хъвахъу,мука,
1995,geo_item,,,,instrument? (заполнить чем-то),n,n,гьунчIа,сено_ трава,
1996,geo_water,in_container,absence of movement,ess,,n,n,и́нсса,река,
1997,building_room,in_room,absence of movement,ess,,n,n,гьанкъу,дом_ комната,
1998,event,,,ess,,n,n,рагъ,война_ бой_ фронт,
1999,event,,,ess,,n,n,рагъ,война_ бой_ фронт,
2000,event,,,ess,,n,n,рагъ,война_ бой_ фронт,
2001,institution,,absence of movement,ess,,n,n,пеле́н,плен,
2002,event,in,,ess,participate in event,n,n,паразникI,праздник,
2003,event,,,,,n,n,рищи,выборы,
2004,event,in,,ess,participate in event,n,n,къец,соревнование,
2005,event,in,,ess,participate in event,n,n,кьибдир,танец,
2006,,,,,theme (нарратив),n,n,на,"вещь_ предмет; явление",
2007,,,,,theme (нарратив),n,n,на,"вещь_ предмет; явление",
2008,bodypart,inter,absence of movement,ess,,n,n,лага,тело,
2009,abstract,,,during,attr,n,n,гIу́мру,жизнь,
2010,mass_abstract,inter,,ess,,n,n,му́ху,труд_ работа,
2011,abstract,inter_abstract,,ess,attr,n,n,гIамал,характер,
2012,mass_abstract,inter,,ess,,n,n,му́ху,труд_ работа,
2013,event,,,ess,,n,n,бе́ртин,свадьба,
2014,building,in_room,absence of movement,ess,,n,n,школа,школа,
2015,item,on.surface_as.picture,absence of movement,ess,,n,n,даска,доска,
2016,item,near,motion towards (lat__term),lat,,n,n,даска,доска,
2017,,,,,unclear (motive?),DEM,DEM,гьу,это,
2018,transport,unclear,absence of movement,ess,,n,n,машина,машина,
2019,abstract_state,inter_abstract,,ess,,n,n,макьу,сон,
2020,text,in_container,,ess,attr,n,n,КъургIан,коран,
2021,bodypart,,,,point of impact (точка приложения усилий (Ганенков)),n,n,кIилу,щека,
2022,time_span,,,lat__term,,n,n,ребу,весна,
2023,time_generic,,,during,,n,n,заман,время_ пора,
2024,time_generic,,,during,,n,n,заман,время_ пора,
2025,geo_item,,,,instrument? (заполнить чем-то),n,n,гьунчIа,сено_ трава,
2026,institution,,,ess,unclear,n,n,калас,класс,
2027,bodypart,on.surface_as.picture__defect,absence of movement,ess,,n,n,лага,тело,
2028,abstract_state,inter_abstract,,ess,,n,n,макьу,сон,
2029,time_span,,,ess,,n,n,къену,лето,
2030,institution,in_institution,,ess,,n,n,институт,институт,
2031,institution,in_institution,,ess,,n,n,интирнат,интернат,
2032,time_span,,,ess,,n,n,реши,год,
2033,building_room,in_room,absence of movement,ess,,n,n,кабина,кабина,
2034,cloth,3D_contact_wrap.insrt,motion towards (lat__term),lat,,n,n,кагъат,бумага,
2035,event,,,during,,n,n,ссабрани,собрание,
2036,mass,,,,instrument? (заполнить чем-то),n,n,хъвахъу,мука,
2037,item,in_container,motion towards (lat__term),lat,,n,n,канверт,конверт,
2038,building_room,in_room,absence of movement,ess,,n,n,каридор,коридор,
2039,building_room,in_room,absence of movement,ess,,n,n,каридор,коридор,
2040,building_room,in_room,absence of movement,ess,,n,n,каридор,коридор,
2041,item,in_inside.location,absence of movement,ess,,n,n,карта,карта,
2042,container,in_container,motion towards (lat__term),lat,,n,n,касса,касса,
2043,time_span,,,ess,,n,n,къену,лето,
2044,transport,in,absence of movement,ess,,n,n,машина,машина,
2045,,,,,theme (нарратив),DEM,DEM,гьу,это,
2046,location,in_inside.location_settlement,absence of movement,ess,,n,n,шагьар,город,
2047,container,in_container,absence of movement,ess,,n_PL,n_PL,кулебалъи,варежки,
2048,event,,,ess,,n,n,рагъ,война_ бой_ фронт,
2049,abstract,,,,theme (нарратив),n,n,къадарир,подлость_ низость,
2050,abstract,inter_abstract,,ess,unclear,n,n,къадру,авторитет,
2051,time_span,,,ess,,n,n,ццибуру,зима,
2052,mass,inter,motion towards (lat__term),lat,,n,n,къанцIи,уксус,
2053,time_span,,,ess,,n,n,къену,лето,
2054,bodypart,in_hole_tight,absence of movement,ess,,n,n,къванкъватIир,горло_ глотка_ гортань,
2055,bodypart,on.surface_as.neoplasm,absence of movement,ess,,n,n,гьанда,лоб,
2056,bodypart,in_inside.location__natural extention,absence of movement,ess,,n,n,къванчи,висок,
2057,mass,inter,absence of movement,ess,,n,n,рикьи,мясо,
2058,time_span,,,ess,,n,n,къену,лето,
2059,time_span,,,ess,,n,n,къену,лето,
2060,event,,,ess,,n,n,рагъ,война_ бой_ фронт,
2061,mass,inter_ingredient,absence of movement,ess,,n,n,щинв,молоко,
2062,clothes_container,in_container_tight,motion towards (lat__term),lat,,n,n,насси́р,обувь,
2063,mass,inter,absence of movement,ess,,n,n,би́ччи,грязь,
2064,abstract_state_unpleasant,inter_abstract,,ess,manner,n,n,къороллъи,вдовство,
2065,container,in_container,absence of movement,ess,,n,n,къулгIа,бассейн,
2066,geo_item,,absence of movement__motion towards,ess__lat,target of disease,n,n,катушка,картошка,
2067,building_part,on.surface_as.defect,absence of movement,ess,,n,n,къинда,стена,
2068,container_dish,on.surface_as.defect,absence of movement,ess,,n,n,курушка,кружка,
2069,clothes,on.surface_as.picture,absence of movement,ess ,,n,n,жила,платье,
2070,human_aggr,in_container,absence of movement,ess,,n,n,калас,класс,
2071,self_formed,3D_contact,motion towards (lat__term),lat,transformation_result,n,n,кIару,клубок,
2072,mass,inter,motion towards (lat__term),lat,,n,n,кащир,каша,
2073,building_part__frame,,,,point of impact (точка приложения усилий (Ганенков)),n,n,гьинцIцIу,дверь,
2074,institution,,,ess,unclear,n,n,калас,класс,
2075,bodypart,,,,point of impact (точка приложения усилий (Ганенков)),n,n,кIилу,щека,
2076,corbel,3D_contact_corbel,motion towards (lat__term),lat,,n,n,кIичIи,крючок (на вешалке_ на двери),
2077,time_span,,,during,,n,n,ребу,весна,
2078,time_span,,,ess,,n,n,къену,лето,
2079,geo,in_inside.location,absence of movement,ess,,n,n,ру́хьу,лес,
2080,container_hole,in_container,motion towards (lat__term),lat,,n,n,лахIту,ниша в могиле,
2081,mass,on__inter,absence of movement,ess,,n,n,би́ччи,грязь,
2082,institution,in_institution,,ess,,n,n,мадараса,медресе (средняя религиозная мусульманская школа),
2083,time_span,,,during,,n,n,май ,май ,
2084,time_span,,,during,,n,n,май ,май ,
2085,abstract_state,inter_abstract,,ess,,n,n,макьу,сон,
2086,abstract_state,,,during,,n,n,макьу,сон,
2087,abstract_state,inter_abstract,,ess,,n,n,макьу,сон,
2088,time_span,,,during,,n,n,ребу,весна,
2089,human,,,,theme (нарратив),n,n,паэт?,поэт,
2090,item,in_inside.location,,ess,,n,n,матIу,зеркало,
2091,bodypart,near_contact_tight,motion towards (lat__term),lat,,n,n,бакьа́р,поясница_ талия,
2092,institution,in_institution,,ess,,n,n,милици,милиция,
2093,time_span,,,,after,n,n,минут,минута,
2094,abstract_state_unpleasant,inter,,ess,,MSD,MSD,миски>мискинир,обеднеть> бедность,
2095,geo_item,,,,mediative?,n,n,бехъи,фрукты,
2096,time_point,,,,after,n,n,пара,миг_ момент,
2097,human_aggr,in_container,,ess,math:consist of,n,n,калас,класс,
2098,event,,,ess,,n,n,рагъ,война_ бой_ фронт,
2099,institution__event,in_institution,,ess,,n,n,сутІ,суд,
2100,cloth,3D_contact_wrap.insrt,absence of movement__motion towards,ess__lat,,n,n,мусру,саван,
2101,text,in_inside.location,absence of movement,ess,,n,n,муха,сказка,
2102,text,in_inside.location,absence of movement,ess,,n,n,муха,сказка,
2103,geo_water,inter,absence of movement,ess,,n,n,и́нсса,река,
2104,building_part,on.surface_as.picture,absence of movement,ess,,n,n,къинда,стена,
2105,geo_item,3D_contact,absence of movement,ess,,n,n,гигина,цветок,
2106,mass,,,,instrument? (заполнить чем-то) (мб актантный генетив Кибрик:Даниэль 2001_ с208),n,n,никку,солома,
2107,bodypart,in_inside.location,,ess,,n,n,нихи,грудь,
2108,institution,in_institution,,ess,,n,n,перма,ферма,
2109,bodypart,,,,point of impact (точка приложения усилий (Ганенков)),n,n,реа,рука,
2110,institution,in_institution,,ess ,,n,n,пабрикIа,фабрика,
2111,abstract,in,,ess,,n,n,палан,план,
2112,building_room,in_room,absence of movement,ess,,n,n,палата,палата,
2113,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2114,time_point,,,ess,,n,n,пара,миг_ момент,
2115,institution,in_institution,,ess,,n,n,перма,ферма,
2116,building_room,in,absence of movement,ess,,n,n,печ,печь,
2117,building_room,in,absence of movement,ess,,n,n,печ,печь,
2118,institution,in,,ess,,n,n,поткалас,подготовительный класс,
2119,time_span,,,,unclear (пять раз В день),n,n,зив,день ,
2120,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2121,measuring_unit,in_container,,ess,math:consist of,n,n,пут,пуд,
2122,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2123,event,,,ess,,n,n,рагъ,война_ бой_ фронт,
2124,building_part_horiz,in_inside.location,motion towards (lat__term),lat,,n,n,рагъал 2,полка,
2125,building_part,in_inside.location,absence of movement,ess,,n,n,рагъи,балкон,
2126,container,in_container,absence of movement,ess,,n,n,разетка,розетка,
2127,human,,,,каузативный (имый) агенс (или фактитив?),n,n,ма́кIи,ребенок,
2128,text,,,,unclear,n,n,раша,слово,
2129,time_span,,,during,,n,n,ребу,весна,
2130,time_span,,,during,,n,n,ребу,весна,
2131,time_span,,,during,,n,n,ребу,весна,
2132,time_span,,,during,,n,n,ребу,весна,
2133,time_span,,,during,,n,n,ребу,весна,
2134,time_span,,,during,,n,n,ребу,весна,
2135,time_span,,,during,,n,n,ребу,весна,
2136,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2137,location,in_inside.location,absence of movement,ess,,adv,adv,ре́лъи,на_дворе,
2138,bodypart,in_container,,lat,point of impact (точка приложения усилий (Ганенков)),n,n,ре́ка,"живот_ желудок; утроба_ брюхо",
2139,location,in_inside.location,absence of movement,ess,,adv,adv,ре́лъи,на_дворе,
2140,location,in_inside.location,absence of movement,ess,,adv,adv,ре́лъи,на_дворе,
2141,location,in_inside.location,absence of movement,ess,,adv,adv,ре́лъи,на_дворе,
2142,location,in_inside.location,absence of movement,ess,,adv,adv,ре́лъи,на_дворе,
2143,location,in_inside.location,absence of movement,ess,,adv,adv,ре́лъи,на_дворе,
2144,location,in_inside.location,absence of movement,ess,,adv,adv,ре́лъи,на_дворе,
2145,measuring_unit,,,,math:consist of,n,n,реу,мера длины (равная длине руки от начала пальцев до локтевого сустава,
2146,time_span,,,ess,,n,n,ццибуру,зима,
2147,event,,,,,n,n,рищи,выборы,
2148,building_room,in,absence of movement,ess,,n,n,печ,печь,
2149,time_span,,,during,,n,n,ребу,весна,
2150,time_span,,,ess,,n,n,ццибуру,зима,
2151,time_span,,,lat__term,,n,n,баран,осень,
2152,container,in_container,motion towards (lat__term),lat,,n,n,касса,касса,
2153,mass,inter_ingredient,absence of movement__motion towards,ess__lat,,n,n,би́ччи,грязь,
2154,geo,in_inside.location,absence of movement,ess,,n,n,мигъи,сад (большой)_обобщ. поля_ сады_ обрабатываемая земля,
2155,time_span,,,ess,,n,n,ццибуру,зима,
2156,frames_holes_cracks,2D_functional.layer_vert,motion towards (lat__term),lat,,n,n,гьингур,окно,
2157,time_span,,,during,,n,n,ссику́нд,секунда,
2158,location,in_inside.location,absence of movement,ess,,adv,adv,ре́лъи,на_дворе,
2159,geo_water,inter,absence of movement,ess,,n,n,регьа,море,
2160,institution,in_institution,,ess,,n,n,ушкол,школа,
2161,abstract_state,,,during,,n,n,макьу,сон,
2162,building_part,in_room,absence of movement,ess,,n,n,тавухан,камин,
2163,location_remote,in_inside.location,absence of movement,ess,,n,n,тахIтасара,даль_ удаленная местность,
2164,bodypart,in_inside.location__on_as.neoplasm,absence of movement,ess,,n,n,нихи,грудь,
2165,building_part__frame,,,,point of impact (точка приложения усилий (Ганенков)),n,n,гьинцIцIу,дверь,
2166,mass_abstract,inter,,ess,,n,n,му́ху,труд_ работа,
2167,building_part,2D_functional.layer_vert,motion towards (lat__term),lat,,n,n,къинда,стена,
2168,picture,,,,attr,n_PL,n_PL,тIанкIи>тIанкIе,точка_ горошек>точки,
2169,bodypart,on.surface_as.neoplasm,absence of movement,ess,,n,n,лага,тело,
2170,mass,inter,motion towards (lat__term),lat,,n,n,лълъе́ни,вода,
2171,bodypart,,,,point of impact (точка приложения усилий (Ганенков)),n,n,гьанда,лоб,
2172,building__institution,in_room,absence of movement,ess,,n,n,балница,больница_ клиника,
2173,geo,in_inside.location,,ess,,n,n,ру́хьу,лес,
2174,institution,in_institution,,ess,,n,n,универмаг,универмаг,
2175,institution,in_institution,,ess,,n,n,университет,университет,
2176,geo_water,inter,absence of movement,ess,,n,n,и́нсса,река,
2177,bodypart,in_inside.location__on,motion towards (lat__term),lat,,n,n,ми́гъул,спина,
2178,time_span,,,ess,,n,n,ццибуру,зима,
2179,text_sound,,,,manner,n,n,гьачIчIу,голос,
2180,time_point,,,ess,,n,n,хъахIлъи,рассвет,
2181,bodypart,in_container,,ess,,n,n,нихи,грудь,
2182,,,,,theme (нарратив),DEM,DEM,гьу,это,
2183,text,inter_abstract,,ess,,MSD,MSD,гу́латир,разговор_ речь,
2184,time_span,,,during,,n,n,ребу,весна,
2185,mass,inter,absence of movement,ess,,n,n,рикьи,мясо,
2186,location,on,absence of movement,ess,,n,n,гьингъул,дно,
2187,,,,,theme (нарратив),DEM,DEM,гьу,это,
2188,time_span,,,,Qsit:telic extent (Haspel p28),num+n,num+n,цеб+пара ,один+миг,
2189,time_span,,,,Qsit:telic extent (Haspel p28_ 39),num+n,num+n,цеб+пара ,один+миг,
2190,aggregate,inter_among,absence of movement,ess,attr,n,n,рехъин,отара,
2191,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2192,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2193,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2194,time_span,,,during,,n,n,ребу,весна,
2195,time_span,,,ess,,n,n,баран,осень,
2196,time_span,,,ess,,n,n,ццибуру,зима,
2197,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2198,time_span,,,ess,,n,n,ццибуру,зима,
2199,time_span,,,ess,,n,n,ццибуру,зима,
2200,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2201,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2202,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2203,time_span,,,during,,n,n,ребу,весна,
2204,time_span,,,ess,,n,n,баран,осень,
2205,geo_water,in_container,absence of movement,ess,,n,n,и́нсса,река,
2206,geo,inter,absence of movement,ess,,n,n,цIцIи́нтур,болото,
2207,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2208,location,in_inside.location,absence of movement,ess,,n,n,куро́рт,курорт,
2209,location,in_inside.location,absence of movement,ess ,,n,n,залам,кладбище,
2210,location,in_inside.location,absence of movement,ess ,,n,n,залам,кладбище,
2211,mass,inter,prolative__prosecutive,ess__prosecutive,,n,n,сира,песок,
2212,clothes_container,near_contact_forced,motion towards (lat__term),lat,,n,n,насси́р,обувь,
2213,clothes,near_contact_forced,absence of movement__motion towards,ess__lat,,n,n,жила,платье,
2214,time_span,,,during,,n,n,ребу,весна,
2215,time_span,,,during,,n,n,ребу,весна,
2216,mass,inter,absence of movement,ess,,n,n,лълъе́ни,вода,
2217,event,,,ess,,n,n,бе́ртин,свадьба,
2218,bodypart,,,,point of impact (точка приложения усилий (Ганенков)),n,n,гьанда,лоб,
2219,abstract,inter_abstract,,ess,manner,n,n,шавкъ,страстное желание,
2220,mass,inter,absence of movement,ess,,n,n,щара,осадок_ остающийся после растапливания сливочного масла,
2221,geo_weather,unclear,absence of movement,ess,,n,n,щиба,роса,
2222,item,in,absence of movement,ess,info_source,n,n,телевизор,телевизор,
2223,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2224,abstract,,,during,attr,n,n,гIу́мру,жизнь,
2225,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2226,time_span,,,unclear,unclear,n,n,ццибуру,зима,
2227,picture,on.surface_as.picture,absence of movement,ess,,n,n,ссурат,рисунок_ фотография,
2228,time_span,,,ess,,n,n,баран,осень,
2229,abstract,,,,manner,MSD,MSD,гъабир,ширина,
2230,abstract,,,,state,MSD,MSD,гьаражир,общительность,
2231,location_generic,in_inside.location__on,absence of movement,ess,,n,n,муса,место,
2232,human_pro,,,,info_addressee,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2233,human_pro,,,,info_addressee,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2234,human_pro,,,,target __recipient физического воздействия?,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2235,human_pro,,,,info_addressee,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2236,human_pro,near,motion towards (lat__term),lat,,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2237,location_unclear,under (LOC),absence of movement,ess,,unclear,unclear,>михъи,на солнце,
2238,human_pro,,,,info_addressee,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2239,human_pro,,,,info_addressee,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2240,location_unclear,under (LOC),absence of movement,ess,,unclear,unclear,>михъи,на солнце,
2241,human_pro,,,,info_addressee,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2242,bodypart,3D_contact,absence of movement__motion towards,ess__lat,,n,n,гару,шея,
2243,human_pro,,,,info_addressee,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2244,human_pro,,,,info_addressee,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2245,human_pro,,,,info_addressee,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2246,human_pro,,,,info_addressee,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2247,location_unclear,in_inside.location,absence of movement,ess,,n,n,анччу,тень,
2248,human_pro,,,,info_addressee,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2249,human_pro,,,,info_addressee,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2250,human_pro,,,,unclear,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2251,natural element(стихия),inter,absence of movement,ess,,n,n,цІай,огонь,
2252,location_unclear,under (LOC),absence of movement,ess,,unclear,unclear,>михъи,на солнце,
2253,human_pro,,,,info_addressee,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2254,human_pro,,,,info_addressee,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2255,human_pro,,,,info_addressee,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2256,human_pro,,,,unclear (зависеть от),pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2257,human_pro,,,,unclear (зависеть от),pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2258,human_pro,,,lat,target of sense perception,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2259,human_pro,,,lat,target of sense perception,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2260,human_pro,,,,info_addressee,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2261,natural element(стихия),inter__near,absence of movement__motion towards,ess__lat,,n,n,цІай,огонь,
2262,location_unclear,under (LOC),absence of movement,ess,,unclear,unclear,>михъи,на солнце,
2263,human_pro,,,,info_addressee,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2264,human_pro,,,,info_addressee,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2265,human_pro,,,,info_addressee,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2266,human_pro,,,,info_addressee,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2267,human_pro,,,,info_addressee,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2268,human_pro,,,,info_addressee,pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2269,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2270,human_pro,in_personal.space (PRO),,ess,POSS,DEM_GEN__OBL,DEM_OBL,гол>голуб,те>те.GEN,
2271,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2272,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2273,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2274,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2275,geo,in_inside.location__on,absence of movement,ess,,n,n,гIурхъи,граница,
2276,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2277,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2278,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2279,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2280,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2281,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2282,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2283,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2284,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2285,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2286,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2287,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2288,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2289,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2290,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2291,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2292,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2293,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2294,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2295,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2296,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2297,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2298,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2299,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2300,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2301,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2302,building,in_room,absence of movement,ess,,adv<?,adv,иши,нареч. в значении в доме,
2303,toponym,in_inside.location,absence of movement,ess,,n,n,Буйхе,Ботлих,
2304,human_pro,in_personal.space (PRO),absence of movement,ess,,pro,pro,и́щи,мы,
2305,human_pro,in_personal.space (PRO),,ess,POSS__unclear(у кого-то есть),pro,pro,и́щи,мы,
2306,human,in_personal.space (PRO),absence of movement,ess,,n,n,ила,мать,
2307,human_pro,in_personal.space (PRO),absence of movement,ess,,pro_GEN__DAT__OBL,pro_OBL,ден>диб__дий,я,
2308,human_pro,in_personal.space (PRO),absence of movement,ess,,DEM,DEM,гьу>гьулу,это>они,
2309,human_pro,POSS,,ess,POSS__unclear(у кого-то есть),pro_GEN__OBL,pro_OBL,мин>дуб,ты,
2310,human_pro,in_personal.space (PRO),absence of movement,ess,,pro,pro,и́щи,мы,
2311,location,in_personal.space (PRO),absence of movement,ess,,adj,adj ,гьекIуб,чужой,
2312,human_pro,in_personal.space (PRO),absence of movement,ess,,pro,pro,би́шди,вы,
2313,institution__status,,,,unclear russian translation,n,n,му́ху,труд_ работа,
2314,human_pro,in_personal.space (PRO),absence of movement,ess,,pro,pro,и́щи,мы,
2315,human_pro,in_personal.space (PRO),absence of movement,ess,,pro,pro,би́шди,вы,
2316,human_pro,in_personal.space (PRO),absence of movement,ess,,pro,pro,и́щи,мы,
2317,institution__place,in_inside.location,,ess,,n,n,му́ху,труд_ работа,
2318,institution__place,in_inside.location,,ess,,n,n,му́ху,труд_ работа,
2319,building_room,in_room,absence of movement,ess,,n,n,кор,кор (общественная пекарня_ печь (приспособленная для выпечки хлеба на углях)),
2320,institution__place,in_inside.location,,ess,,n,n,му́ху,труд_ работа,
2321,human,in_personal.space (PRO),absence of movement,ess,,n,n,ила,мать,
2322,geo,in_inside.location,absence of movement,ess,,adj,adj ,магIарул,горный,
2323,human_pro,in_personal.space (PRO),absence of movement,ess,,pro,pro,илIи,мы (инкл),
2324,human_pro,in_personal.space (PRO),absence of movement,ess,,pro,pro,илIи,мы (инкл),
2325,toponym,in_inside.location,absence of movement,ess,,n,n,Буйхе,Ботлих,
2326,human_pro,in_personal.space (PRO),absence of movement,ess,,pro,pro,и́щи,мы,
2327,human_pro,in_personal.space (PRO),absence of movement,ess,,pro,pro,и́щи,мы,
2328,human_pro,in_personal.space (PRO),,ess,POSS__unclear(у кого-то есть),pro,pro,и́щи,мы,
2329,human_pro,POSS,,ess,POSS__unclear(у кого-то есть),DEM,DEM,гьущý,3sg.M,
2330,human,LOC (like russian),,ess,in status?,n_GEN__OBL,n_OBL,цІцІе>цІцІеруб,гость_ гостья,
2331,human_pro,in_personal.space (PRO),absence of movement,ess,,pro,pro,и́щи,мы,
2332,institution,,,,unclear,n,n,му́ху,труд_ работа,
2333,human_pro,in_personal.space (PRO),absence of movement,ess,,pro,pro,и́щи,мы,
2334,>toponym,near,absence of movement,ess,,n,n,Боржи,Боржи (мужское имя),
2335,>toponym (<bodypart),near,absence of movement,ess,,n,n,гуги салу,кореной зуб,
2336,>toponym (<animal),near,absence of movement,ess,,n,n,бацIа,волк,
2337,geo>toponym,near,absence of movement,ess,,n,n,инххи,река_ ручей,
2338,>toponym,near,absence of movement,ess,,n,n,кор,кор (общественная пекарня_ печь (приспособленная для выпечки хлеба на углях)),
2339,>toponym (<building),near,absence of movement,ess,,n,n,щеба,башня сторожевая,
2340,>toponym (<location),near,absence of movement,ess,,n,n,залам,кладбище,
2341,>toponym (<building),near,absence of movement,ess,,n,n,кор,кор (общественная пекарня_ печь (приспособленная для выпечки хлеба на углях)),
2342,>toponym (<building),near,absence of movement,ess,,n,n,хвабу,мельница,
2343,human,,,ess,,n,n,има,отец,
2344,human,in_personal.space (PRO),absence of movement,ess,,n_PL,n_PL,мадухал>мадухалзáбалъи,сосед>соседи,
2345,human_pro,,,,info_addressee,pro,pro,тIоргу____тIоргуда,все,
2346,human_pro,,,,info_addressee,DEM,DEM,гьущý,3sg.M,
2347,human,,,,info_addressee,n,n,ада́м,человек,
2348,location_unclear,in_inside.location,absence of movement,ess,,n,n,анччу,тень,
2349,location,,absence of movement,ess,,adv,adv,гьачIчIахи,"наземь; на пол",
2350,abstract,,,,exchange,n,n,арси,деньги_ серебро,
2351,building_part,in_inside.location,absence of movement,ess,,n,n,ахъул,"место перед камином; очаг_ топка печи",
2352,edge_narrow.space,in_inside.location,absence of movement,ess,,n_PL,n_PL,бай>байбалъи,край>края,
